Entity,Code,Year,Primary energy consumption per capita (kWh/person)
Russia,RUS,2021,59913.562
Spain,ESP,2000,37495.703
Spain,ESP,2001,39003.945
Spain,ESP,2002,38938.44
Spain,ESP,2003,40418.156
Spain,ESP,2004,41185.832
Spain,ESP,2005,40779.03
Spain,ESP,2006,40681.79
Spain,ESP,2007,40817.645
Spain,ESP,2008,39067.87
Spain,ESP,2009,35904.375
Spain,ESP,2010,36714.203
Spain,ESP,2011,35901.07
Spain,ESP,2012,35681.477
Spain,ESP,2013,34008.008
Spain,ESP,2014,33478.24
Spain,ESP,2015,33920.24
Spain,ESP,2016,34212.625
Spain,ESP,2017,34520.547
Spain,ESP,2018,34986.293
Spain,ESP,2019,33764.863
Spain,ESP,2020,30391.29
Spain,ESP,2021,32708.59
Vietnam,VNM,2000,2710.707
Vietnam,VNM,2001,3032.4685
Vietnam,VNM,2002,3283.0818
Vietnam,VNM,2003,3502.005
Vietnam,VNM,2004,4225.1167
Vietnam,VNM,2005,4447.702
Vietnam,VNM,2006,4037.6528
Vietnam,VNM,2007,4368.3804
Vietnam,VNM,2008,5341.3945
Vietnam,VNM,2009,5408.298
Vietnam,VNM,2010,6180.2876
Vietnam,VNM,2011,6758.891
Vietnam,VNM,2012,7012.6265
Vietnam,VNM,2013,7329.2236
Vietnam,VNM,2014,8018.5605
Vietnam,VNM,2015,9027.841
Vietnam,VNM,2016,9659.209
Vietnam,VNM,2017,10293.654
Vietnam,VNM,2018,11443.453
Vietnam,VNM,2019,12585.571
Vietnam,VNM,2020,12136.403
Vietnam,VNM,2021,12311.141
